daily_steps,sleep_hours,stress_level,mood_score,diet_quality
6715,8.8,1.0,10.0,average
4572,6.3,1.9,8.7,good
8092,4.4,3.2,7.2,average
8022,9.0,1.0,10.0,average
7510,6.8,1.6,10.0,poor
7030,8.9,1.0,10.0,poor
4669,4.6,3.3,5.6,average
6658,6.1,2.7,8.8,average
6814,7.0,1.0,10.0,average
5895,7.1,1.0,10.0,average
7177,6.3,1.0,10.0,average
8308,7.9,1.0,10.0,good
11272,5.4,1.0,10.0,good
7849,6.8,2.4,10.0,poor
8015,7.2,1.0,10.0,average
7351,7.8,1.5,10.0,poor
3662,8.1,1.0,10.0,average
7446,5.3,2.1,8.8,good
7620,4.7,2.2,8.0,poor
12426,8.9,1.0,10.0,average
7115,7.5,1.0,10.0,average
8103,5.9,2.5,9.5,good
7430,9.3,1.0,10.0,average
5162,7.2,1.3,10.0,poor
9785,8.8,1.0,10.0,average
9003,7.1,1.0,10.0,average
9082,10.0,1.0,10.0,poor
5681,9.6,1.0,10.0,average
10305,6.6,1.0,10.0,poor
4696,8.5,1.0,10.0,poor
8673,8.0,1.0,10.0,average
11880,9.1,1.0,10.0,poor
5518,5.6,2.6,7.7,average
6367,8.0,1.0,10.0,average
7699,8.6,1.0,10.0,good
6493,4.4,2.7,6.7,average
4398,5.2,3.5,6.0,poor
7637,3.9,2.5,6.9,poor
5375,6.6,2.0,9.4,average
8447,8.1,1.0,10.0,good
5661,9.3,1.0,10.0,poor
10599,7.1,1.0,10.0,good
5933,9.4,1.0,10.0,poor
6855,4.9,3.8,6.7,average
9127,4.4,4.2,6.9,good
5038,6.9,2.4,9.3,good
7954,7.6,1.0,10.0,good
10114,7.0,1.0,10.0,good
4285,3.9,4.0,4.0,average
7869,6.9,1.0,10.0,good
8019,5.0,2.8,8.2,poor
9063,8.0,1.0,10.0,good
5026,7.5,1.0,10.0,average
4859,5.6,2.0,7.9,good
8543,6.2,1.0,10.0,average
8093,5.4,1.0,10.0,average
8000,6.9,1.0,10.0,average
8192,8.4,1.0,10.0,good
6139,5.5,1.5,8.9,poor
7964,7.8,1.0,10.0,poor
8086,6.2,1.0,10.0,average
6071,5.8,4.8,6.5,poor
11231,6.8,1.0,10.0,good
8447,5.4,1.9,9.6,average
5117,6.2,1.3,9.3,good
8813,5.2,2.6,9.0,average
5550,9.9,1.0,10.0,poor
9074,7.1,1.0,10.0,good
9817,6.0,3.3,9.7,average
5858,7.3,1.0,10.0,average
9426,6.8,1.2,10.0,average
8325,6.7,1.0,10.0,good
9144,7.9,1.0,10.0,average
11293,8.1,1.0,10.0,good
7009,6.2,1.0,10.0,good
5992,6.1,3.7,7.8,average
5720,6.6,2.2,9.4,poor
5868,3.5,3.9,4.4,average
7345,4.7,3.5,6.9,poor
8182,9.1,1.0,10.0,poor
8053,9.5,1.0,10.0,average
9154,6.6,1.0,10.0,average
7526,7.9,1.0,10.0,good
10407,7.5,1.0,10.0,good
6970,10.0,1.0,10.0,good
12940,8.7,1.0,10.0,average
8751,6.8,1.0,10.0,average
5785,5.6,1.2,9.0,average
5358,4.6,4.0,5.4,good
8464,7.3,1.0,10.0,poor
7053,5.9,2.3,9.1,good
8928,4.9,3.2,8.1,average
8446,6.0,2.0,10.0,average
7354,5.4,2.6,8.4,good
5806,9.5,1.0,10.0,average
4470,8.3,1.0,10.0,good
6606,7.0,1.2,10.0,good
9212,9.2,1.0,10.0,average
7928,7.1,1.0,10.0,average
5008,5.7,1.3,8.6,average
7846,9.3,1.0,10.0,good
8270,7.8,1.0,10.0,average
5732,5.4,2.6,7.7,average
7807,6.7,1.4,10.0,average
7616,5.7,1.8,9.6,good
5214,4.9,3.4,6.2,poor
8215,8.4,1.0,10.0,good
8621,9.9,1.0,10.0,good
9666,4.9,2.0,9.5,poor
9607,7.8,1.0,10.0,average
4744,6.0,2.0,8.4,good
5624,6.3,1.5,9.5,poor
8530,6.1,1.3,10.0,good
8527,5.7,1.0,10.0,average
8530,7.1,1.3,10.0,average
15000,5.8,1.0,10.0,good
8641,7.4,1.0,10.0,average
9771,6.9,1.0,10.0,average
9408,6.6,1.7,10.0,average
8802,5.6,1.6,10.0,average
6869,6.1,2.6,9.1,poor
9017,8.1,1.0,10.0,average
5954,7.8,1.0,10.0,good
7026,5.5,3.0,8.1,average
6529,7.1,1.0,10.0,average
7663,8.1,1.0,10.0,average
12129,4.5,1.0,10.0,good
3765,7.8,2.3,9.8,poor
8872,6.0,3.3,9.3,good
4274,7.9,1.0,10.0,average
6556,5.9,1.5,9.5,average
9677,4.3,3.9,7.2,poor
7628,4.6,4.5,6.1,poor
5344,7.1,1.0,10.0,average
6069,7.4,1.0,10.0,average
8859,5.6,1.1,10.0,good
6039,8.0,1.0,10.0,average
7932,4.5,1.9,8.2,average
7591,6.9,1.0,10.0,average
6196,5.2,2.0,8.1,good
11787,6.0,1.0,10.0,poor
8767,7.1,1.0,10.0,poor
3449,5.7,4.7,5.2,poor
7872,6.4,1.0,10.0,good
6176,8.5,1.0,10.0,average
9204,6.1,1.0,10.0,average
5914,8.3,1.0,10.0,good
7270,5.3,2.9,8.0,good
8509,7.8,1.0,10.0,average
9231,9.2,1.0,10.0,good
5099,3.3,5.2,2.7,average
6830,5.8,2.4,8.8,poor
6550,7.9,1.0,10.0,average
6193,6.7,3.7,8.5,poor
11030,7.6,1.0,10.0,average
8309,6.1,1.0,10.0,good
4978,7.1,1.0,10.0,poor
9335,6.8,1.0,10.0,poor
11744,8.8,1.0,10.0,average
9564,7.4,1.0,10.0,good
4461,7.5,2.4,9.7,average
6531,6.4,1.0,10.0,average
10033,6.3,1.0,10.0,poor
6084,6.4,2.1,9.4,poor
8387,7.6,1.0,10.0,good
9049,6.4,1.2,10.0,good
5646,7.4,1.0,10.0,poor
7380,10.0,1.0,10.0,good
1017,8.3,2.9,8.5,average
5451,6.5,3.5,8.1,good
6994,8.8,1.0,10.0,average
5004,6.4,1.6,9.3,average
10764,3.9,2.8,8.3,average
4639,5.5,3.3,6.6,average
6619,4.2,4.3,5.3,poor
7761,6.5,3.0,9.7,poor
10382,7.0,1.0,10.0,average
4628,9.5,1.0,10.0,good
9826,7.5,1.0,10.0,average
7520,6.7,1.0,10.0,average
5536,8.2,1.0,10.0,good
8424,3.7,5.3,4.8,poor
7898,7.4,1.0,10.0,average
6299,8.2,1.0,10.0,average
7639,4.8,2.7,7.8,good
6729,8.7,1.0,10.0,poor
7727,7.5,2.4,10.0,average
8824,6.4,1.0,10.0,good
10672,7.9,1.0,10.0,good
5024,10.0,1.0,10.0,average
11766,7.3,1.0,10.0,average
3595,7.4,3.3,8.4,average
7196,6.3,1.9,10.0,good
8676,5.7,1.0,10.0,average
8061,8.2,1.0,10.0,poor
6254,5.7,3.3,7.7,good
7083,7.1,1.4,10.0,average
6513,6.3,2.1,9.5,average
6321,7.7,1.2,10.0,average
9199,7.5,1.0,10.0,average
8214,8.6,1.0,10.0,average
6114,6.2,2.4,9.0,average
9299,6.6,1.0,10.0,poor
8114,5.5,1.9,9.5,average
9125,6.3,1.8,10.0,good
8759,7.6,1.0,10.0,poor
